id,gender,masterCategory,subCategory,articleType,season,usage,image_path,image_full_path
52029,Unisex,Apparel,Topwear,Rain Jacket,Summer,,52029.jpg,/content/outfit_data/Fashion Product Images (Small)/images/52029.jpg
5865,Men,Apparel,Topwear,Tshirts,Summer,Casual,5865.jpg,/content/outfit_data/Fashion Product Images (Small)/images/5865.jpg
29584,Men,Apparel,Topwear,Tshirts,Summer,Casual,29584.jpg,/content/outfit_data/Fashion Product Images (Small)/images/29584.jpg
28456,Women,Apparel,Bottomwear,Skirts,Summer,Sports,28456.jpg,/content/outfit_data/Fashion Product Images (Small)/images/28456.jpg
34009,Girls,Apparel,Topwear,Tops,Summer,Casual,34009.jpg,/content/outfit_data/Fashion Product Images (Small)/images/34009.jpg
9694,Men,Apparel,Topwear,Tshirts,Fall,Casual,9694.jpg,/content/outfit_data/Fashion Product Images (Small)/images/9694.jpg
15984,Men,Apparel,Topwear,Shirts,Fall,Casual,15984.jpg,/content/outfit_data/Fashion Product Images (Small)/images/15984.jpg
59297,Men,Apparel,Topwear,Shirts,Fall,Casual,59297.jpg,/content/outfit_data/Fashion Product Images (Small)/images/59297.jpg
27846,Women,Apparel,Topwear,Blazers,Summer,Formal,27846.jpg,/content/outfit_data/Fashion Product Images (Small)/images/27846.jpg
26994,Women,Apparel,Bottomwear,Jeans,Summer,Casual,26994.jpg,/content/outfit_data/Fashion Product Images (Small)/images/26994.jpg
54588,Women,Apparel,Topwear,Kurtas,Summer,Ethnic,54588.jpg,/content/outfit_data/Fashion Product Images (Small)/images/54588.jpg
8322,Boys,Apparel,Topwear,Tshirts,Fall,Casual,8322.jpg,/content/outfit_data/Fashion Product Images (Small)/images/8322.jpg
7158,Men,Apparel,Topwear,Shirts,Fall,Casual,7158.jpg,/content/outfit_data/Fashion Product Images (Small)/images/7158.jpg
19547,Men,Apparel,Topwear,Sweatshirts,Fall,Casual,19547.jpg,/content/outfit_data/Fashion Product Images (Small)/images/19547.jpg
7964,Men,Apparel,Topwear,Tshirts,Fall,Sports,7964.jpg,/content/outfit_data/Fashion Product Images (Small)/images/7964.jpg
16392,Men,Apparel,Topwear,Shirts,Fall,Casual,16392.jpg,/content/outfit_data/Fashion Product Images (Small)/images/16392.jpg
51455,Women,Apparel,Topwear,Shrug,Summer,Casual,51455.jpg,/content/outfit_data/Fashion Product Images (Small)/images/51455.jpg
17240,Men,Apparel,Topwear,Tshirts,Fall,Casual,17240.jpg,/content/outfit_data/Fashion Product Images (Small)/images/17240.jpg
6617,Men,Apparel,Topwear,Shirts,Summer,Casual,6617.jpg,/content/outfit_data/Fashion Product Images (Small)/images/6617.jpg
3365,Men,Apparel,Topwear,Tshirts,Summer,Casual,3365.jpg,/content/outfit_data/Fashion Product Images (Small)/images/3365.jpg
10065,Men,Apparel,Topwear,Tshirts,Fall,Casual,10065.jpg,/content/outfit_data/Fashion Product Images (Small)/images/10065.jpg
5092,Men,Apparel,Topwear,Tshirts,Summer,Casual,5092.jpg,/content/outfit_data/Fashion Product Images (Small)/images/5092.jpg
10859,Men,Apparel,Topwear,Tshirts,Fall,Casual,10859.jpg,/content/outfit_data/Fashion Product Images (Small)/images/10859.jpg
10257,Men,Apparel,Bottomwear,Trousers,Fall,Formal,10257.jpg,/content/outfit_data/Fashion Product Images (Small)/images/10257.jpg
24062,Men,Apparel,Topwear,Tshirts,Summer,Casual,24062.jpg,/content/outfit_data/Fashion Product Images (Small)/images/24062.jpg
11385,Women,Apparel,Topwear,Sweatshirts,Fall,Casual,11385.jpg,/content/outfit_data/Fashion Product Images (Small)/images/11385.jpg
22395,Men,Apparel,Topwear,Shirts,Fall,Casual,22395.jpg,/content/outfit_data/Fashion Product Images (Small)/images/22395.jpg
31782,Women,Apparel,Topwear,Tops,Summer,Casual,31782.jpg,/content/outfit_data/Fashion Product Images (Small)/images/31782.jpg
12500,Men,Apparel,Topwear,Shirts,Fall,Casual,12500.jpg,/content/outfit_data/Fashion Product Images (Small)/images/12500.jpg
30650,Men,Apparel,Topwear,Tshirts,Summer,Casual,30650.jpg,/content/outfit_data/Fashion Product Images (Small)/images/30650.jpg
32563,Women,Apparel,Bottomwear,Trousers,Summer,Casual,32563.jpg,/content/outfit_data/Fashion Product Images (Small)/images/32563.jpg
40143,Girls,Apparel,Topwear,Tops,Summer,Casual,40143.jpg,/content/outfit_data/Fashion Product Images (Small)/images/40143.jpg
24406,Women,Apparel,Topwear,Kurtas,Summer,Ethnic,24406.jpg,/content/outfit_data/Fashion Product Images (Small)/images/24406.jpg
21174,Women,Apparel,Topwear,Tops,Fall,Casual,21174.jpg,/content/outfit_data/Fashion Product Images (Small)/images/21174.jpg
15341,Women,Apparel,Bottomwear,Shorts,Fall,Sports,15341.jpg,/content/outfit_data/Fashion Product Images (Small)/images/15341.jpg
14293,Men,Apparel,Topwear,Tshirts,Fall,Casual,14293.jpg,/content/outfit_data/Fashion Product Images (Small)/images/14293.jpg
6041,Men,Apparel,Topwear,Tshirts,Summer,Casual,6041.jpg,/content/outfit_data/Fashion Product Images (Small)/images/6041.jpg
23623,Girls,Apparel,Topwear,Tops,Fall,Casual,23623.jpg,/content/outfit_data/Fashion Product Images (Small)/images/23623.jpg
9835,Women,Apparel,Topwear,Tshirts,Fall,Casual,9835.jpg,/content/outfit_data/Fashion Product Images (Small)/images/9835.jpg
7193,Women,Apparel,Bottomwear,Jeans,Fall,Casual,7193.jpg,/content/outfit_data/Fashion Product Images (Small)/images/7193.jpg
27283,Women,Apparel,Topwear,Kurtas,Fall,Ethnic,27283.jpg,/content/outfit_data/Fashion Product Images (Small)/images/27283.jpg
3533,Men,Apparel,Topwear,Tshirts,Summer,Casual,3533.jpg,/content/outfit_data/Fashion Product Images (Small)/images/3533.jpg
12164,Women,Apparel,Topwear,Dupatta,Fall,Ethnic,12164.jpg,/content/outfit_data/Fashion Product Images (Small)/images/12164.jpg
17624,Men,Apparel,Bottomwear,Track Pants,Fall,Sports,17624.jpg,/content/outfit_data/Fashion Product Images (Small)/images/17624.jpg
47154,Girls,Apparel,Bottomwear,Capris,Summer,Casual,47154.jpg,/content/outfit_data/Fashion Product Images (Small)/images/47154.jpg
13284,Men,Apparel,Bottomwear,Shorts,Fall,Casual,13284.jpg,/content/outfit_data/Fashion Product Images (Small)/images/13284.jpg
26163,Men,Apparel,Bottomwear,Trousers,Summer,Formal,26163.jpg,/content/outfit_data/Fashion Product Images (Small)/images/26163.jpg
3701,Women,Apparel,Topwear,Tshirts,Summer,Casual,3701.jpg,/content/outfit_data/Fashion Product Images (Small)/images/3701.jpg
42426,Women,Apparel,Topwear,Kurtas,Summer,Ethnic,42426.jpg,/content/outfit_data/Fashion Product Images (Small)/images/42426.jpg
10401,Women,Apparel,Topwear,Tops,Fall,Casual,10401.jpg,/content/outfit_data/Fashion Product Images (Small)/images/10401.jpg
40371,Women,Apparel,Bottomwear,Jeans,Summer,Casual,40371.jpg,/content/outfit_data/Fashion Product Images (Small)/images/40371.jpg
37223,Women,Apparel,Topwear,Tops,Summer,Casual,37223.jpg,/content/outfit_data/Fashion Product Images (Small)/images/37223.jpg
53766,Men,Apparel,Topwear,Tshirts,Summer,Casual,53766.jpg,/content/outfit_data/Fashion Product Images (Small)/images/53766.jpg
25520,Girls,Apparel,Topwear,Tops,Fall,Casual,25520.jpg,/content/outfit_data/Fashion Product Images (Small)/images/25520.jpg
32597,Women,Apparel,Topwear,Tops,Summer,Casual,32597.jpg,/content/outfit_data/Fashion Product Images (Small)/images/32597.jpg
57100,Women,Apparel,Topwear,Tops,Summer,Casual,57100.jpg,/content/outfit_data/Fashion Product Images (Small)/images/57100.jpg
50325,Women,Apparel,Topwear,Kurtas,Summer,Ethnic,50325.jpg,/content/outfit_data/Fashion Product Images (Small)/images/50325.jpg
16530,Men,Apparel,Topwear,Shirts,Fall,Casual,16530.jpg,/content/outfit_data/Fashion Product Images (Small)/images/16530.jpg
7167,Men,Apparel,Topwear,Shirts,Fall,Casual,7167.jpg,/content/outfit_data/Fashion Product Images (Small)/images/7167.jpg
46240,Women,Apparel,Topwear,Tunics,Summer,Casual,46240.jpg,/content/outfit_data/Fashion Product Images (Small)/images/46240.jpg
27277,Women,Apparel,Topwear,Kurtas,Fall,Ethnic,27277.jpg,/content/outfit_data/Fashion Product Images (Small)/images/27277.jpg
6889,Women,Apparel,Topwear,Jackets,Summer,Casual,6889.jpg,/content/outfit_data/Fashion Product Images (Small)/images/6889.jpg
31312,Women,Apparel,Topwear,Kurtas,Summer,Ethnic,31312.jpg,/content/outfit_data/Fashion Product Images (Small)/images/31312.jpg
12190,Men,Apparel,Topwear,Shirts,Fall,Casual,12190.jpg,/content/outfit_data/Fashion Product Images (Small)/images/12190.jpg
19578,Women,Apparel,Topwear,Tops,Summer,Casual,19578.jpg,/content/outfit_data/Fashion Product Images (Small)/images/19578.jpg
27879,Women,Apparel,Topwear,Tops,Summer,Casual,27879.jpg,/content/outfit_data/Fashion Product Images (Small)/images/27879.jpg
6287,Men,Apparel,Topwear,Tshirts,Summer,Casual,6287.jpg,/content/outfit_data/Fashion Product Images (Small)/images/6287.jpg
7355,Men,Apparel,Topwear,Tshirts,Fall,Casual,7355.jpg,/content/outfit_data/Fashion Product Images (Small)/images/7355.jpg
43500,Men,Apparel,Topwear,Tshirts,Summer,Casual,43500.jpg,/content/outfit_data/Fashion Product Images (Small)/images/43500.jpg
13270,Women,Apparel,Topwear,Tops,Fall,Casual,13270.jpg,/content/outfit_data/Fashion Product Images (Small)/images/13270.jpg
31120,Girls,Apparel,Topwear,Tops,Summer,Casual,31120.jpg,/content/outfit_data/Fashion Product Images (Small)/images/31120.jpg
11527,Men,Apparel,Topwear,Tshirts,Fall,Casual,11527.jpg,/content/outfit_data/Fashion Product Images (Small)/images/11527.jpg
40385,Women,Apparel,Topwear,Tops,Summer,Casual,40385.jpg,/content/outfit_data/Fashion Product Images (Small)/images/40385.jpg
15187,Men,Apparel,Topwear,Tshirts,Fall,Casual,15187.jpg,/content/outfit_data/Fashion Product Images (Small)/images/15187.jpg
14055,Men,Apparel,Topwear,Shirts,Fall,Casual,14055.jpg,/content/outfit_data/Fashion Product Images (Small)/images/14055.jpg
20260,Men,Apparel,Topwear,Tshirts,Fall,Casual,20260.jpg,/content/outfit_data/Fashion Product Images (Small)/images/20260.jpg
28469,Women,Apparel,Topwear,Tshirts,Summer,Casual,28469.jpg,/content/outfit_data/Fashion Product Images (Small)/images/28469.jpg
34036,Boys,Apparel,Topwear,Shirts,Summer,Casual,34036.jpg,/content/outfit_data/Fashion Product Images (Small)/images/34036.jpg
8779,Men,Apparel,Topwear,Shirts,Fall,Casual,8779.jpg,/content/outfit_data/Fashion Product Images (Small)/images/8779.jpg
2243,Men,Apparel,Topwear,Tshirts,Fall,Sports,2243.jpg,/content/outfit_data/Fashion Product Images (Small)/images/2243.jpg
33213,Women,Apparel,Topwear,Tops,Summer,Casual,33213.jpg,/content/outfit_data/Fashion Product Images (Small)/images/33213.jpg
39729,Women,Apparel,Topwear,Tops,Summer,Casual,39729.jpg,/content/outfit_data/Fashion Product Images (Small)/images/39729.jpg
11143,Men,Apparel,Topwear,Shirts,Fall,Casual,11143.jpg,/content/outfit_data/Fashion Product Images (Small)/images/11143.jpg
44341,Men,Apparel,Topwear,Tshirts,Summer,Casual,44341.jpg,/content/outfit_data/Fashion Product Images (Small)/images/44341.jpg
33021,Women,Apparel,Topwear,Kurtas,Summer,Ethnic,33021.jpg,/content/outfit_data/Fashion Product Images (Small)/images/33021.jpg
11371,Men,Apparel,Topwear,Shirts,Fall,Casual,11371.jpg,/content/outfit_data/Fashion Product Images (Small)/images/11371.jpg
41401,Women,Apparel,Topwear,Tops,Summer,Casual,41401.jpg,/content/outfit_data/Fashion Product Images (Small)/images/41401.jpg
4386,Men,Apparel,Topwear,Tshirts,Summer,Casual,4386.jpg,/content/outfit_data/Fashion Product Images (Small)/images/4386.jpg
29789,Men,Apparel,Topwear,Tshirts,Summer,Casual,29789.jpg,/content/outfit_data/Fashion Product Images (Small)/images/29789.jpg
7503,Men,Apparel,Topwear,Tshirts,Summer,Sports,7503.jpg,/content/outfit_data/Fashion Product Images (Small)/images/7503.jpg
34204,Men,Apparel,Bottomwear,Track Pants,Fall,Casual,34204.jpg,/content/outfit_data/Fashion Product Images (Small)/images/34204.jpg
13426,Men,Apparel,Topwear,Tshirts,Summer,Casual,13426.jpg,/content/outfit_data/Fashion Product Images (Small)/images/13426.jpg
13846,Men,Apparel,Topwear,Shirts,Fall,Casual,13846.jpg,/content/outfit_data/Fashion Product Images (Small)/images/13846.jpg
46278,Women,Apparel,Topwear,Tunics,Summer,Casual,46278.jpg,/content/outfit_data/Fashion Product Images (Small)/images/46278.jpg
16508,Men,Apparel,Bottomwear,Jeans,Fall,Casual,16508.jpg,/content/outfit_data/Fashion Product Images (Small)/images/16508.jpg
19540,Men,Apparel,Topwear,Sweaters,Summer,Casual,19540.jpg,/content/outfit_data/Fashion Product Images (Small)/images/19540.jpg
7963,Men,Apparel,Topwear,Tshirts,Fall,Sports,7963.jpg,/content/outfit_data/Fashion Product Images (Small)/images/7963.jpg
57138,Women,Apparel,Bottomwear,Trousers,Summer,Casual,57138.jpg,/content/outfit_data/Fashion Product Images (Small)/images/57138.jpg
15983,Men,Apparel,Topwear,Shirts,Fall,Casual,15983.jpg,/content/outfit_data/Fashion Product Images (Small)/images/15983.jpg
20258,Men,Apparel,Topwear,Tshirts,Fall,Casual,20258.jpg,/content/outfit_data/Fashion Product Images (Small)/images/20258.jpg
26993,Women,Apparel,Bottomwear,Jeans,Summer,Casual,26993.jpg,/content/outfit_data/Fashion Product Images (Small)/images/26993.jpg
13248,Men,Apparel,Bottomwear,Trousers,Fall,Casual,13248.jpg,/content/outfit_data/Fashion Product Images (Small)/images/13248.jpg
43538,Women,Apparel,Topwear,Tops,Summer,Casual,43538.jpg,/content/outfit_data/Fashion Product Images (Small)/images/43538.jpg
8325,Boys,Apparel,Topwear,Tshirts,Fall,Casual,8325.jpg,/content/outfit_data/Fashion Product Images (Small)/images/8325.jpg
31118,Girls,Apparel,Topwear,Tops,Summer,Casual,31118.jpg,/content/outfit_data/Fashion Product Images (Small)/images/31118.jpg
5862,Men,Apparel,Topwear,Tshirts,Summer,Casual,5862.jpg,/content/outfit_data/Fashion Product Images (Small)/images/5862.jpg
58726,Men,Apparel,Topwear,Tshirts,Summer,Casual,58726.jpg,/content/outfit_data/Fashion Product Images (Small)/images/58726.jpg
51499,Women,Apparel,Bottomwear,Jeans,Summer,Casual,51499.jpg,/content/outfit_data/Fashion Product Images (Small)/images/51499.jpg
7709,Women,Apparel,Bottomwear,Jeans,Fall,Casual,7709.jpg,/content/outfit_data/Fashion Product Images (Small)/images/7709.jpg
28451,Women,Apparel,Bottomwear,Track Pants,Summer,Casual,28451.jpg,/content/outfit_data/Fashion Product Images (Small)/images/28451.jpg
43960,Men,Apparel,Topwear,Shirts,Summer,Formal,43960.jpg,/content/outfit_data/Fashion Product Images (Small)/images/43960.jpg
8741,Men,Apparel,Topwear,Shirts,Fall,Casual,8741.jpg,/content/outfit_data/Fashion Product Images (Small)/images/8741.jpg
22359,Men,Apparel,Topwear,Shirts,Summer,Casual,22359.jpg,/content/outfit_data/Fashion Product Images (Small)/images/22359.jpg
49654,Women,Apparel,Bottomwear,Skirts,Summer,Casual,49654.jpg,/content/outfit_data/Fashion Product Images (Small)/images/49654.jpg
2049,Men,Apparel,Topwear,Tshirts,Summer,Sports,2049.jpg,/content/outfit_data/Fashion Product Images (Small)/images/2049.jpg
33019,Women,Apparel,Topwear,Kurtas,Summer,Ethnic,33019.jpg,/content/outfit_data/Fashion Product Images (Small)/images/33019.jpg
11349,Men,Apparel,Bottomwear,Jeans,Summer,Casual,11349.jpg,/content/outfit_data/Fashion Product Images (Small)/images/11349.jpg
24892,Men,Apparel,Topwear,Tshirts,Fall,Casual,24892.jpg,/content/outfit_data/Fashion Product Images (Small)/images/24892.jpg
58514,Women,Apparel,Topwear,Tops,Summer,Casual,58514.jpg,/content/outfit_data/Fashion Product Images (Small)/images/58514.jpg
38637,Men,Apparel,Topwear,Tshirts,Summer,Casual,38637.jpg,/content/outfit_data/Fashion Product Images (Small)/images/38637.jpg
4944,Men,Apparel,Topwear,Shirts,Summer,Casual,4944.jpg,/content/outfit_data/Fashion Product Images (Small)/images/4944.jpg
10861,Men,Apparel,Topwear,Tshirts,Fall,Casual,10861.jpg,/content/outfit_data/Fashion Product Images (Small)/images/10861.jpg
54923,Girls,Apparel,Bottomwear,Capris,Summer,Casual,54923.jpg,/content/outfit_data/Fashion Product Images (Small)/images/54923.jpg
17278,Men,Apparel,Topwear,Tshirts,Fall,Casual,17278.jpg,/content/outfit_data/Fashion Product Images (Small)/images/17278.jpg
31588,Men,Apparel,Topwear,Tshirts,Summer,Casual,31588.jpg,/content/outfit_data/Fashion Product Images (Small)/images/31588.jpg
18230,Men,Apparel,Topwear,Tshirts,Fall,Casual,18230.jpg,/content/outfit_data/Fashion Product Images (Small)/images/18230.jpg
23871,Men,Apparel,Topwear,Tshirts,Fall,Casual,23871.jpg,/content/outfit_data/Fashion Product Images (Small)/images/23871.jpg
9667,Men,Apparel,Topwear,Shirts,Fall,Casual,9667.jpg,/content/outfit_data/Fashion Product Images (Small)/images/9667.jpg
16198,Men,Apparel,Bottomwear,Tracksuits,Fall,Sports,16198.jpg,/content/outfit_data/Fashion Product Images (Small)/images/16198.jpg
3953,Women,Apparel,Topwear,Tshirts,Summer,Casual,3953.jpg,/content/outfit_data/Fashion Product Images (Small)/images/3953.jpg
28697,Women,Apparel,Topwear,Kurtas,Summer,Ethnic,28697.jpg,/content/outfit_data/Fashion Product Images (Small)/images/28697.jpg
12538,Men,Apparel,Bottomwear,Track Pants,Fall,Casual,12538.jpg,/content/outfit_data/Fashion Product Images (Small)/images/12538.jpg
8587,Men,Apparel,Topwear,Shirts,Fall,Casual,8587.jpg,/content/outfit_data/Fashion Product Images (Small)/images/8587.jpg
42248,Women,Apparel,Topwear,Tops,Summer,Casual,42248.jpg,/content/outfit_data/Fashion Product Images (Small)/images/42248.jpg
9455,Men,Apparel,Topwear,Shirts,Fall,Formal,9455.jpg,/content/outfit_data/Fashion Product Images (Small)/images/9455.jpg
18002,Women,Apparel,Bottomwear,Capris,Summer,Sports,18002.jpg,/content/outfit_data/Fashion Product Images (Small)/images/18002.jpg
1638,Unisex,Apparel,Bottomwear,Swimwear,Fall,Sports,1638.jpg,/content/outfit_data/Fashion Product Images (Small)/images/1638.jpg
32903,Women,Apparel,Bottomwear,Shorts,Summer,Casual,32903.jpg,/content/outfit_data/Fashion Product Images (Small)/images/32903.jpg
6079,Men,Apparel,Topwear,Tshirts,Summer,Casual,6079.jpg,/content/outfit_data/Fashion Product Images (Small)/images/6079.jpg
29321,Men,Apparel,Topwear,Tshirts,Summer,Sports,29321.jpg,/content/outfit_data/Fashion Product Images (Small)/images/29321.jpg
26369,Women,Apparel,Topwear,Shirts,Summer,Casual,26369.jpg,/content/outfit_data/Fashion Product Images (Small)/images/26369.jpg
33489,Men,Apparel,Topwear,Shirts,Summer,Casual,33489.jpg,/content/outfit_data/Fashion Product Images (Small)/images/33489.jpg
56822,Men,Apparel,Bottomwear,Trousers,Summer,Casual,56822.jpg,/content/outfit_data/Fashion Product Images (Small)/images/56822.jpg
40947,Boys,Apparel,Topwear,Tshirts,Summer,Casual,40947.jpg,/content/outfit_data/Fashion Product Images (Small)/images/40947.jpg
39381,Men,Apparel,Bottomwear,Jeans,Summer,Casual,39381.jpg,/content/outfit_data/Fashion Product Images (Small)/images/39381.jpg
15977,Men,Apparel,Topwear,Shirts,Fall,Casual,15977.jpg,/content/outfit_data/Fashion Product Images (Small)/images/15977.jpg
32769,Men,Apparel,Topwear,Tshirts,Spring,Casual,32769.jpg,/content/outfit_data/Fashion Product Images (Small)/images/32769.jpg
10439,Men,Apparel,Topwear,Tshirts,Fall,Casual,10439.jpg,/content/outfit_data/Fashion Product Images (Small)/images/10439.jpg
14099,Women,Apparel,Topwear,Tops,Fall,Casual,14099.jpg,/content/outfit_data/Fashion Product Images (Small)/images/14099.jpg
1852,Men,Apparel,Topwear,Tshirts,Summer,Casual,1852.jpg,/content/outfit_data/Fashion Product Images (Small)/images/1852.jpg
30802,Men,Apparel,Topwear,Shirts,Summer,Ethnic,30802.jpg,/content/outfit_data/Fashion Product Images (Small)/images/30802.jpg
26967,Women,Apparel,Topwear,Tops,Summer,Casual,26967.jpg,/content/outfit_data/Fashion Product Images (Small)/images/26967.jpg
27089,Women,Apparel,Topwear,Kurtas,Summer,Ethnic,27089.jpg,/content/outfit_data/Fashion Product Images (Small)/images/27089.jpg
19786,Men,Apparel,Topwear,Tshirts,Winter,Casual,19786.jpg,/content/outfit_data/Fashion Product Images (Small)/images/19786.jpg
24091,Men,Apparel,Topwear,Tshirts,Fall,Casual,24091.jpg,/content/outfit_data/Fashion Product Images (Small)/images/24091.jpg
33026,Women,Apparel,Topwear,Kurtas,Fall,Ethnic,33026.jpg,/content/outfit_data/Fashion Product Images (Small)/images/33026.jpg
41406,Women,Apparel,Topwear,Tshirts,Summer,Casual,41406.jpg,/content/outfit_data/Fashion Product Images (Small)/images/41406.jpg
11376,Women,Apparel,Topwear,Tops,Fall,Casual,11376.jpg,/content/outfit_data/Fashion Product Images (Small)/images/11376.jpg
4381,Men,Apparel,Topwear,Tshirts,Summer,Casual,4381.jpg,/content/outfit_data/Fashion Product Images (Small)/images/4381.jpg
7504,Women,Apparel,Topwear,Tshirts,Summer,Sports,7504.jpg,/content/outfit_data/Fashion Product Images (Small)/images/7504.jpg
22366,Men,Apparel,Topwear,Tshirts,Fall,Casual,22366.jpg,/content/outfit_data/Fashion Product Images (Small)/images/22366.jpg
34203,Men,Apparel,Bottomwear,Track Pants,Winter,Casual,34203.jpg,/content/outfit_data/Fashion Product Images (Small)/images/34203.jpg
13421,Men,Apparel,Topwear,Tshirts,Summer,Casual,13421.jpg,/content/outfit_data/Fashion Product Images (Small)/images/13421.jpg
27614,Men,Apparel,Bottomwear,Trousers,Summer,Casual,27614.jpg,/content/outfit_data/Fashion Product Images (Small)/images/27614.jpg
16361,Men,Apparel,Topwear,Shirts,Fall,Formal,16361.jpg,/content/outfit_data/Fashion Product Images (Small)/images/16361.jpg
46411,Men,Apparel,Topwear,Sweatshirts,Summer,Casual,46411.jpg,/content/outfit_data/Fashion Product Images (Small)/images/46411.jpg
34031,Boys,Apparel,Topwear,Shirts,Summer,Casual,34031.jpg,/content/outfit_data/Fashion Product Images (Small)/images/34031.jpg
31543,Men,Apparel,Topwear,Tshirts,Summer,Casual,31543.jpg,/content/outfit_data/Fashion Product Images (Small)/images/31543.jpg
27426,Women,Apparel,Bottomwear,Shorts,Winter,Casual,27426.jpg,/content/outfit_data/Fashion Product Images (Small)/images/27426.jpg
2244,Women,Apparel,Topwear,Tshirts,Fall,Casual,2244.jpg,/content/outfit_data/Fashion Product Images (Small)/images/2244.jpg
